url,title,content,reply
https://cafe.naver.com/no1cheonan?iframe_url=%2FArticleRead.nhn%3Fclubid%3D26217677%26articleid%3D4085701%26art%3DaW50ZXJuYWwtY2FmZS13ZWItc2VjdGlvbi1zZWFyY2gtbGlzdA.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiYXJ0aWNsZUlkIjo0MDg1NzAxLCJjYWZlVXJsIjoibm8xY2hlb25hbiIsImlzc3VlZEF0IjoxNzQ0NjE1MDY5MzQzfQ.QGE-Upk9lRi7pBQ6NuY4nIWm-OL-P83PsFGDiCsQGoU%26query%3D%25EC%2595%2584%25EC%259D%25B4%25EB%258F%258C%25EB%25B4%2584%25EC%2584%259C%25EB%25B9%2584%25EC%258A%25A4,아이돌봄서비스 돌봄선생님 바꾸는게 나을까요?,오늘 아이돌봄 서비스를 처음 이용했습니다오후6시에서 오후9시까지 봐주셨습니다​여아 5세아이 6시하원도와주시고 집에서 저녁식사 챙겨주셨어요아이 식사도 챙겨주시고 같이 그림도 그려주신게 너무 좋았는데요퇴근후 집에서 뵐때 아이 밥 차려주면서 본인 저녁식사도 같이 하셨다고 하시더라구요​미리 말안해주셔서 살짝 당황스럽긴 했는데요  돌봄 선생님 말로는 원래 다 그렇게 같이 차려먹는다고 하시고 간식이나 과일도 같이 먹는다고 하시네요다른 카페글은 각자 챙겨오신다고 하네요..​고기나 야채 사두면 알아서 국이나 반찬 요리해서 아이랑 먹겠다고 하시는데 원래 이렇게 진행되는게 맞을까요?​다른 돌봄 선생님들도 다 똑같다고 하셔서..혹시 선배맘님들 아이돌봄 서비스 이용하실때 어떻게 이용하세요? 궁금합니당 ㅠㅠ​​​​​​​🧡천안.아산의 모든정보와 살아가는 이야기가 모여있는 온라인 커뮤니티 [천안아산줌마렐라],https://cafe.naver.com/no1cheonan/3792095닉네임 규정에 맞게 변경부탁드립니다.미변경시 무통보 활정되실 수 있습니다.
https://cafe.naver.com/malltail?iframe_url=%2FArticleRead.nhn%3Fclubid%3D21820768%26articleid%3D7225488%26art%3DaW50ZXJuYWwtY2FmZS13ZWItc2VjdGlvbi1zZWFyY2gtbGlzdA.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiYXJ0aWNsZUlkIjo3MjI1NDg4LCJjYWZlVXJsIjoibWFsbHRhaWwiLCJpc3N1ZWRBdCI6MTc0NDYxNTA2OTM0NH0.C6geYoE3W1gcix1_pOeMqhvkMLEVs7HOXbE4j-mSQYc%26query%3D%25EC%2595%2584%25EC%259D%25B4%25EB%258F%258C%25EB%25B4%2584%25EC%2584%259C%25EB%25B9%2584%25EC%258A%25A4,정부 아이돌봄서비스~ 애들 아침밥이요!!,"출근시간이 빨라서정부 아이돌봄서비스 신청했다가드디어 연락이와서 담주부터 이용하기로 했어요!그런데 애들(초등생,유치원생) 밥을 미리 준비해놓으면주신다고는 하시던데...불사용은 안하신다고 되어있더라구요.혹시 이용하시는분들 어떤걸로 준비해놓으셨나요?매일 준비해놔야되는게 조금 숙제 같네요ㅜㅜ",아침 먹이시던걸로 준비 해 놓으면 되지요
https://cafe.naver.com/seoulhanbumo?iframe_url=%2FArticleRead.nhn%3Fclubid%3D20269330%26articleid%3D79845%26art%3DaW50ZXJuYWwtY2FmZS13ZWItc2VjdGlvbi1zZWFyY2gtbGlzdA.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiYXJ0aWNsZUlkIjo3OTg0NSwiY2FmZVVybCI6InNlb3VsaGFuYnVtbyIsImlzc3VlZEF0IjoxNzQ0NjE1MDY5MzQ1fQ.TSX6HHanQ2OpQDY_NzhlfRn9krbSRpPjtaceaYn-tjs%26query%3D%25EC%2595%2584%25EC%259D%25B4%25EB%258F%258C%25EB%25B4%2584%25EC%2584%259C%25EB%25B9%2584%25EC%258A%25A4,아이돌봄서비스 이용중 너무 속상하네요 ㅠ,"신세한탄할곳이 이곳뿐이라 여기에 남겨요. 저 같은 고민하시는 분 있을까요?아이는 만3세 여아, 어린이집 졸업하고 유치원 갈 나이지만 워킹맘 한부모로 현재 상황에서 어떤 변화가 오는것이 두려워 1년 더 어린이집에 남기로 했어요. 같은 반 친구들중 똘똘한 아이들은 유치원으로 다 빠지고 얼마 안남은 친구들보니 마음이 착찹하더라고요. 엄마가 바빠서 제대로 케어 못해주는게 너무 미안하고, 우리 딸은 출발선부터 다르다는 사실이 많이 느껴지는 요즘이에요.​무한정 대기중이던 아이돌봄서비스 작년 가을부터 배정받아서 이용했거든요.교육 수료하고 처음 배정받은 초보 선생님이셨지만, 제 상황이 친정어머니 돌아가셨고 아이 맡길곳 하나 없기때문에 지푸라기 잡는심정으로 무조건 보내달라고 센터에 부탁했어요.​성격상 장단점이 분명하게 있었던 분이셨고, 5개월정도 아이 봐주셨는데 말씀드리지 않았지만 이혼가정인거 눈치채셨고, 그 색안경 때문인지 아이의 행동 하나하나 병원 가보라는 식으로 조언해주시더라고요. 처음에는 어른이 보는게 정확하겠다 싶어서 아이가 거짓말하고 소리지르고 공격적으로 행동한다는 엄마인 내가 볼때 믿을 수 없는 문제행동들을 말씀하시기에 아이를 혼냈어요. 그러다가 어느순간 아이 역시 선생님의 꽉막힌 불통에 힘들어하고 있었다는 걸 알았어요 말을 잘하는 아이라서 표현도 잘 하는 줄 알았는데, 본인의 요구가 계속 무시당하니 선생님께 소리지르는 행동으로 표출하더라고요. 선생님이 말씀하신 공격적 행동은 cctv로 목격한적 없으나 예민도의 문제라 생각하고 대화로 잘 풀어나가려고 했는데 갑자기 그만두시겠대요. 아이와는 정신과 상담을 받아보라고 하시더라고요.​정말 억울하더라고요. 이혼하고나서 차별받는 다는 느낌 들었던 적 없는데, 정말 저와 아이를 색안경끼고 바라보시는 모습이 느껴져서 마지막날 선생님 보내고 아이붙들고 펑펑 울었어요. 엄마가 일해야해서 하원후 돌봐주지 못해서 너무 미안하다고요. 한부모에게 일하는건 선택이 아니라 필수죠. 이혼후 씩씩하게 잘 지내고 있었는데 무너져내렸습니다.​아이돌봄이 필요한건 맞벌이부부도 물론이지만 한부모에게 더 절실하지 않나요. 우여곡절끝에 새로오신 돌봄선생님은 저의 거주지가 대단지아파트가 아니고 평수가 작은곳에 산다는 것을 은연중 자꾸 찌르시네요. 아이가 하원후 아파트 놀이터에서 1시간정도 놀고 들어오면 돌봄이 편한데 이 집은 근처 놀이터가 너무 멀리 있어서 도대체 집에서 뭘하고 시간을 보내야 하냐고요. 이전 돌봄선생님과도 아이가 낯가림이 심했는지 물으시며 또 저와 아이가 문제있는것처럼 말씀하시려는게 보여서 너무 속상합니다.​저도 대단지 아파트 살고 싶어요. 거주지로 돌봄선생님께 차별받는 느낌이 참 별로네요. 누가 와도 비슷한 상황일것 같다는 사실이 더 화가납니다. 어디사는지, 온전한 가정인지가 사람을 판단하는 1번 기준이라는사실이 나 역시 이전에 그렇게 생각하고 살았는지 반성도 하게 되고요.​다들 이런 시선에서는 자유로우신가요?아이가 초등학교가고 머리가 더 커지면 아이 스스로도 느끼겠죠. 정말 너무 속상합니다.",토닥토닥   그돌봄쌤들이 인성이 아직 성숙하지 못한 분들이시네요 이럴수록 더 아무렇지 않다라는걸 엄마가 보여주셔야 아이도 안심한다고 생각 합니다 엄마니까요 힘내세요!!! 화이팅!!!
https://cafe.naver.com/imsanbu?iframe_url=%2FArticleRead.nhn%3Fclubid%3D10094499%26articleid%3D74756700%26art%3DaW50ZXJuYWwtY2FmZS13ZWItc2VjdGlvbi1zZWFyY2gtbGlzdA.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiYXJ0aWNsZUlkIjo3NDc1NjcwMCwiY2FmZVVybCI6Imltc2FuYnUiLCJpc3N1ZWRBdCI6MTc0NDYxNTA2OTM0NX0.Fm0a_-_1Z3PS_jyoaYP2YTsZ_7SD1EoSSX6qTebaQmE%26query%3D%25EC%2595%2584%25EC%259D%25B4%25EB%258F%258C%25EB%25B4%2584%25EC%2584%259C%25EB%25B9%2584%25EC%258A%25A4,아이돌봄서비스 vs 시간제보육,​6개월 여아 키우고 있어요.남편은 일주일에 하루만 쉬고요.그동안은 외출 거의 안하고 남편쉬는날 볼일보고 그랬거든요.근데 이제 병원도 좀 다니고 미용실 등 제 볼일도 좀 보고싶어서요.양가부모님께는 못맡기고요..어떤게 나을까요? 한달에 2~3번 3시간정도 맡기려고요.​1. 아이돌봄서비스신청되어있고 첫째봐주시던 선생님이 와주신다는데 거실에 홈캠설치하고 맡기는거구요.​2. 시간제보육 어린이집한번도 안가봤는데 평은 괜찮아요.대신 짐 다 싸들고 애기 데리고 가고 델고오고..번거롭지만 비용은 매우 저렴해요.​첫째는 6살인데 한번도 가족아닌 사람과 단둘이 놔둔적 없었거든요ㅠ아..계속 고민이에요. 그냥 개인볼일을 참아야할까요?맡겨볼까요? 넘넘 불안해요.아는 선생님이 오는데도 불안해요.조언 부탁드려요~,그래도 아시는분께 맡기는게 좋지 않을까요?? ㅠㅠ
https://cafe.naver.com/cafe1535?iframe_url=%2FArticleRead.nhn%3Fclubid%3D22243426%26articleid%3D1529402%26art%3DaW50ZXJuYWwtY2FmZS13ZWItc2VjdGlvbi1zZWFyY2gtbGlzdA.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiYXJ0aWNsZUlkIjoxNTI5NDAyLCJjYWZlVXJsIjoiY2FmZTE1MzUiLCJpc3N1ZWRBdCI6MTc0NDYxNTA2OTM0Nn0.O272UtPpFIh04JuFSLERfQfk5BHI3Mpm1hgKRt45dqo%26query%3D%25EC%2595%2584%25EC%259D%25B4%25EB%258F%258C%25EB%25B4%2584%25EC%2584%259C%25EB%25B9%2584%25EC%258A%25A4,아이돌봄서비스,"- 가구원수 = 명- 부양의무자 =- 재산(금융&일반,부동산) = 만원- 소득(양육비포함) = 만원/월- 소득발생자 나이 =- 부채 =  만원- 자동차(배기량,연식,차량가액 등) =- 거주지역[1급지(서울)/2급지(경기)/3급지(광역·세종·창원)/4급지(그 외 지역) =- 현재 받고 있는 복지 또는 신청하려는 복지 =​아이돌봄서비스가 있다고 해서 이용해 보려고 하는데.. 복지로에서도 신청 가능하고 아이돌봄서비스 어플에서도 신청 가능하고 행정복지센터 방문해서 신청해도 되는거죠? 세개가 다 같은거겠죠?학원차에서 내리고 픽업하셔서 집에 와서 목욕도 시켜주실까요?청소, 목욕, 책 읽어주기 어디까지 가능한가요??",픽업해서 엄마가 준비한 음식 데워주고 책읽어주기 까지만 되어요. 아이먹은 설거지만 해주시구요/쌤은 도시락을 따로 싸오세요요리x청소x목욕x돌봄만 해주시는거예요 ㅎㅎ
https://cafe.naver.com/pusanmom?iframe_url=%2FArticleRead.nhn%3Fclubid%3D18077961%26articleid%3D4116959%26art%3DaW50ZXJuYWwtY2FmZS13ZWItc2VjdGlvbi1zZWFyY2gtbGlzdA.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiYXJ0aWNsZUlkIjo0MTE2OTU5LCJjYWZlVXJsIjoicHVzYW5tb20iLCJpc3N1ZWRBdCI6MTc0NDYxNTA2OTM0N30.O9o6503xdli-d-p2u6Dh8lEASXjhp27P-KkpL-x69YE%26query%3D%25EC%2595%2584%25EC%259D%25B4%25EB%258F%258C%25EB%25B4%2584%25EC%2584%259C%25EB%25B9%2584%25EC%258A%25A4,아이돌봄서비스 고민좀 들어주세요..ㅠㅠ,"​<<좋아요❤️를 눌러주세요. 행운이 있을 거예요^^>>​어쩌다가 주말부부를 6개월정도 하게 되었어요.그래서 오후 5시 30분부터 8시까지 돌봄선생님을요청해야할 것 같아서 아이돌봄서비스 센터에대기를 올려놓고 3 4일정도만에 쌤이 잡혔어요!​면접을 봤는데 선생님이 너무 서글서글하시고우리 집과도 가깝고 아이도 선생님 거부감없이 같은 공간에서잘 있길래 저는 너무너무 만족하고 오래 뵙고싶다고 했어용그분도 그럼 돌봄시간에 이렇게이렇게 하면 좋겠다~ 하면서 의견주셔서 흡족했죵​근데 3일뒤에 쌤이 시간이 너무 짧아서 페이 관련으로 못하겠다고 센터에 말씀하셨대요저는 너무 당황해서 그럼 3시간은 괜찬으시냐고 전해달라했더니,,,, 돌봄선생님들은 더 장기간 시간을 원하신다고 하면서 센터에서는 에둘러서 거절하더라구요.​당장 3월이 코앞이라..어쩔수없이 오늘 제가 회사에단축근무 신청을 했는데.오후 5시에 센터에서 연락왔더라구요, 그 쌤이 다시 하신다고 하는데 시간을 3시간으로 하면 하시겠다고요 ㅎㅎㅎ​첨에 제가 3시간 제안도 드렸고..애가 태권도에서 집에 오는시간은 5시 50분이에요.이거는 면접볼때도 말씀드렸는데..5시부터 8시를 원하시는것 같더라구요?일단 알겠다고 했고, 센터에서는 다음주 화요일까지앱에 신청 올려놓으라고 하셔서 일단락 됬는데...​당장 쌤이 필요하고 절박한건 제 쪽이긴 한데쌤의 태도가 너무... 고운 시선이 안가네요.다시 얼굴보기 껄끄러울것같고.....근데 장기 쌤을 구하는게 쉽지는 않고.​어떻게 해야 현명한걸까요?아 너무 스트레스받네요ㅎㅎㅎㅎ ㅠㅠ​​​​",자리났을때신청하시는게낳을꺼에요
https://cafe.naver.com/gangmok?iframe_url=%2FArticleRead.nhn%3Fclubid%3D14042965%26articleid%3D1925685%26art%3DaW50ZXJuYWwtY2FmZS13ZWItc2VjdGlvbi1zZWFyY2gtbGlzdA.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiYXJ0aWNsZUlkIjoxOTI1Njg1LCJjYWZlVXJsIjoiZ2FuZ21vayIsImlzc3VlZEF0IjoxNzQ0NjE1MDY5MzQ3fQ.Vy0m6aM5T6qzaGi9w-cC7NjZC-d119kyMe9Ypgcygvg%26query%3D%25EC%2595%2584%25EC%259D%25B4%25EB%258F%258C%25EB%25B4%2584%25EC%2584%259C%25EB%25B9%2584%25EC%258A%25A4,아이돌봄서비스 신청 및 지원 대상 확인 방법!(2025년 최신),"최근 맞벌이를 시작하면서 아이 돌볼 시간이 많이 부족해지더라구요.​이럴 경우 정부에서 지원하는 아이돌봄서비스 사업을 이용하면 도움이 된다고 들어서 바로 신청을 했는데, 원하는 시간에 돌봄이 되니 기대 이상으로 만족스럽더라구요!​제가 아이돌봄서비스 신청 할 때 참고한 글이 있어 공유드리려고 합니다.​바로 아래에아이돌봄서비스 신청 방법 자세히 알아보기를 눌러 확인하세요.아이돌봄서비스 신청 방법 자세히 알아보기>>​​​​​​​​​​​​​​​​​​​​​1. 아이돌봄서비스란 무엇인가?​부모의 맞벌이 등으로 양육 공백이 발생한 가정의 만 12세 이하 아동을 대상으로 아이돌보미가 찾아가는 돌봄 서비스를 제공하여 부모의 양육부담을 경감하고 시설보육의 사각지대를 보완하고자 만들어진 제도입니다.​아이돌봄서비스 신청 서비스 종류는 다음과 같이 시간제 서비스와 종일제 서비스로 구분됩니다.​- 시간제 서비스 : 부모가 올 때까지 임시보육, 놀이 활동, 준비된 급·간식 서비스, 보육시설 및 학교 등·하원(교) 동행 등 (36개월 이하 영아 대상 시간제 돌봄 제공시, 영아종일제 업무 병행)​- 종일제 서비스 : 이유식 먹이기, 젖병 소독, 기저귀 갈기, 목욕 등 0세아 돌봄과 관련된 활동 전반​정부지원대상은 기준 중위소득 150% 이하 가구이며 소득유형별로 정부지원 비율이 차등 적용됩니다. 단, 장애아동의 경우 비장애아동 지원기준의 120%이하까지 지원됩니다.​한편, 야간·공휴일 추가 요금은 이용자가 별도로 부담하며, 서비스 기관은 광역 거점기관에서 운영하는 서비스제공기관으로 등록된 기관에서만 이용가능하니 참고하시기 바랍니다.​2. 2025년 아이돌봄서비스 지원 대상 선정 기준​아이돌봅서비스 정부지원 대상은 기준중위소득 150% 이하 가정입니다. 아이돌봄서비스 신청 다만, 장애부모 및 장애아동가정, 자립준비청년, 다자녀 가정 등에 대해서는 지원비율이 확대되며, 중증장애아동 양육가구의 경우 최대 90%까지 지원됩니다.​더욱 자세한 소득판별 기준은 아래와 같습니다.​1.가형: 기준중위소득 75% 이하​2.나형: 기준중위소득 120% 이하​3.다형: 기준중위소득 150% 이하​맞벌이 가정(취업한부모 등)의 경우에는 지원 유형별 소득기준을 10% 상향하여 적용됩니다. 즉, 가형의 경우 기준중위소득이 85% 이하, 나형은 130% 이하, 다형은 150% 이하라면 정부지원 대상에 해당됩니다.​한편, 정부지원을 받고자 하는 가정은 거주지 관할 주민센터 또는 복지로(www.bokjiro.go.kr) 온라인 사이트를 통해 신청할 수 있습니다. 이때, 정부지원 신청은 서비스 이용 전에 신청해야 하며, 아이돌봄서비스 신청 정부지원 자격 결정은 신청일 기준으로 최소 2주 정도 소요되므로 미리 신청하는 것이 좋습니다.​3. 아이돌봄서비스 신청 절차 상세 안내​아이돌봄서비스를 이용하기 위해서는 다음과 같은 절차를 따라야 합니다.​1.정부지원 신청: 정부지원을 받고자 하는 가정은 거주지 관할 주민센터 또는 복지로( www.bokjiro.go.kr ) 온라인 사이트를 통해 신청할 수 있습니다. 신청서 제출 시에는 가족관계증명서, 건강보험료 납부확인서 등의 서류를 함께 제출해야 합니다.​2.판정 대기: 정부지원 신청 후에는 정부지원 자격 결정을 위해 최소 2주 정도의 시간이 소요됩니다. 판정 결과는 문자메시지 또는 이메일로 안내됩니다.​3.서비스 신청: 정부지원 대상으로 판정된 가정은 아이돌봄서비스 홈페이지(idolbom.go.kr) 에서 서비스를 신청할 수 있습니다. 서비스 신청 시에는 희망하는 서비스 종류, 이용 시간, 이용 요금 등을 선택해야 합니다.​4.서비스 연계: 서비스 신청 후에는 아이돌보미와 매칭이 이루어지며, 아이돌봄서비스 신청 매칭 결과는 문자메시지 또는 이메일로 안내됩니다. 이후에는 아이돌보미가 가정으로 방문하여 서비스를 제공합니다.​5.이용 요금 결제: 서비스 이용 후에는 아이돌봄서비스 홈페이지에서 이용 요금을 결제해야 합니다. 정부지원 대상 가정의 경우에는 정부지원금을 제외한 본인부담금만 결제하면 됩니다.​6.정기 모니터링: 정기적으로 진행되며, 아이돌보미의 활동 내역과 이용 가정의 만족도 등을 조사합니다. 이를 통해 서비스의 질을 향상시키고, 이용 가정의 만족도를 높이는 데 노력하고 있습니다.​4. 아이돌봄서비스 신청 시 필요 서류 및 준비사항 체크리스트​다음은 아이돌봄서비스 신청 시 필요한 서류 및 준비사항입니다.​- 가족관계증명서: 부모 모두의 성명, 생년월일, 주민등록번호 뒷자리가 기재되어 있어야 합니다.​- 건강보험료 납부확인서: 맞벌이 부부의 경우, 각각의 건강보험료 납부확인서를 제출해야 합니다.​- 주민등록등본: 주소변동사항 최근 5년 포함되어야 하며, 세대원 정보가 모두 나와야 합니다.​- 보육료·유아학비 지원 확인서: 유치원이나 어린이집에 다니는 아동의 경우, 해당 기관에서 발급받은 보육료·유아학비 지원 확인서를 제출해야 합니다.​- 장애인복지카드 사본: 장애부모 가정의 경우, 장애인복지카드 사본을 제출해야 합니다.​- 휴직증명서: 취업 한부모가정이면서 부 또는 모가 휴직 중인 경우, 해당 기관에서 발급 받은 6개월 이내 휴직원 또는 재직증명서를 제출해야 합니다.​위의 서류들을 미리 준비해두면 원활하게 서비스를 신청할 수 있습니다. 추가 문의 사항은 각 지역의 아이돌봄서비스 제공기관이나 주민센터에 문의하시면 자세한 안내를 받으실 수 있습니다.​5. 아이돌봄서비스 이용 절차와 단계별 안내​아이돌봄서비스를 이용하려면 다음과 같은 절차를 따라야 합니다.​1.서비스 신청: 정부지원대상 가정은 주소지 관할 주민센터 방문 또는 복지로( www.bokjiro.go.kr ) 온라인 신청을 통해 서비스를 신청합니다. 정부 미지원 대상 가정은 아이돌봄 홈페이지(idolbom.go.kr) 에서 회원가입 후 서비스를 신청합니다.​2.서비스 연계: 서비스 신청 후, 희망하는 날짜와 시간에 아이돌보미가 연계됩니다.​3.서비스 이용: 이용자는 아이돌보미와 협의한 시간에 맞춰 서비스를 이용합니다.​4.이용료 결제: 국민행복카드를 이용하여 서비스 이용료를 결제합니다.​5.모니터링: 이용자와 아이돌보미는 서로의 의견을 공유하고, 서비스 개선을 위해 노력합니다.​6.재신청: 서비스 이용 기간이 종료되면, 다시 서비스를 신청 해야 합니다.​각 단계에서는 다음과 같은 사항을 유의해야 합니다.​-서비스 신청: 반드시 본인 명의로 신청해야 합니다. 가족이나 지인의 대리 신청은 불가능합니다.​-서비스 연계: 원하는 일정과 시간에 아이돌보미를 연계받지 못할 수도 있습니다. 이때는 대기 명단에 등록하거나, 다른 아이돌보미를 추천받을 수 있습니다.​-서비스 이용: 아이돌보미의 근무시간과 휴게시간을 준수해야 합니다. 또, 아이돌보미에게 무리한 요구를 하거나, 욕설이나 폭력을 행사해서는 안 됩니다.​-이용료 결제: 매월 말일까지 결제해야 합니다. 만약 결제를 하지 않을 경우, 연체료가 부과 될 수 있습니다.​-모니터링: 아이돌보미와의 소통을 통해 서비스 만족도를 높여야 합니다. 또, 아이돌보미의 활동 내역을 주기적으로 점검하여, 서비스 품질을 유지해야 합니다.​아이돌봄서비스는 부모님들의 육아 부담을 덜어주고, 아이들의 건강한 성장을 돕는 중요한 서비스입니다.​정부에서 지원하는 사업이기 때문에, 비용도 상대적으로 저렴하다는 장점이 있는데요.​신청 방법과 지원 대상을 잘 확인하시고, 필요하신 분들은 적극적으로 이용해 보시길 바랍니다. 이를 통해 부모와 아이 모두가 행복한 일상을 보낼 수 있을 것입니다.",아이돌봄서비스 신청에 대해 정리해드렸습니다. 도움 되시길 바랍니다.
https://cafe.naver.com/dgmom365?iframe_url=%2FArticleRead.nhn%3Fclubid%3D24000254%26articleid%3D6998738%26art%3DaW50ZXJuYWwtY2FmZS13ZWItc2VjdGlvbi1zZWFyY2gtbGlzdA.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiYXJ0aWNsZUlkIjo2OTk4NzM4LCJjYWZlVXJsIjoiZGdtb20zNjUiLCJpc3N1ZWRBdCI6MTc0NDYxNTA2OTM0OH0.TVxxRRsAIgpIH2i9An3qIw5xECOKC_rzT4lQZglPeX4%26query%3D%25EC%2595%2584%25EC%259D%25B4%25EB%258F%258C%25EB%25B4%2584%25EC%2584%259C%25EB%25B9%2584%25EC%258A%25A4,아이돌봄 서비스,아이돌봄서비스를 신청하려고하는데..​구청센터에 전화했더니..​선생님이 구해지면 신청서를 쓰라고 연락을 전화를준다는데..​이게맞는건가요? 신청서 먼저 쓴다고 해서 돌봄교사가 바로 배정이 안된다는데...​보통 신청서 쓰기전에 선생님부터 구하고 신청서를 쓰는건가요?,"절차가 정확히 기억은 안니지만, 소득 판정 받고 신청서를 먼저 낼껄요? 그래야지 센터에서 선생님을 구할텐데... 좀 이상하네요."
https://cafe.naver.com/cjcjmom?iframe_url=%2FArticleRead.nhn%3Fclubid%3D11569471%26articleid%3D3400510%26art%3DaW50ZXJuYWwtY2FmZS13ZWItc2VjdGlvbi1zZWFyY2gtbGlzdA.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiYXJ0aWNsZUlkIjozNDAwNTEwLCJjYWZlVXJsIjoiY2pjam1vbSIsImlzc3VlZEF0IjoxNzQ0NjE1MDY5MzQ5fQ.rC6Qr-fTqcvsuekgtASdZkHl-AWuQs6j7Tg1-JUn6Fk%26query%3D%25EC%2595%2584%25EC%259D%25B4%25EB%258F%258C%25EB%25B4%2584%25EC%2584%259C%25EB%25B9%2584%25EC%258A%25A4,아이돌봄서비스 어떻게 이용하나요?,"맞벌이 가정, 취업 한부모 가정, 장애부모 가정, 다자녀 가정, 기타 양육부담 가정아이돌봄서비스 신청 망설이지 마세요~♥아래의 🍯꿀TIP 따라하면 금방이쥬~정부지원금이최대 85%딱... 한 번만 신청해보세요...한 번 신청하면, 두 번도 신청하게 되는... 마법...친정엄마보다 자주 만나게 되는 든든한 아이돌보미 선생님담당자인... 저도 아이돌봄서비스 덕분에 지금 일하고 있답니다...워킹맘들이라면 한 번쯤은 공감하는 아침 출근길!""나도 바쁜데~ 우리 아이 등원까지 언제 다 시키지?""나도 여유롭게, 우리 아이도 여유롭게!​""우리 아이 하원, 하교할 때 혼자 학원가는 길이 걱정이네...""학원길도 안전하게, 든든하게!​이제는 일과 가정 둘 다 지키기 가능주변에 맡기느라 눈치볼 일ZERO​학원 끝나고 우리집에서도 아이돌보미 선생님이 있으니 걱정없이!안전하게 집에서 돌봐주는 선생님이 있으니 맘편히 일 다녀오세요!아래의 서비스 진행절차를 참고하여 신청해보세요!신청하다가 모르겠다면가까운 아이돌봄센터로 전화 GO GO!""엄마의 힐링은 세상을 밝게 만드는 빛과 같아요. 엄마의 행복을 응원합니다.""​​",아이돌봄서비스를 실제 이용해보신 분들은 자유롭게 댓글로 남겨주세요~ 육아맘들의 다양한 의견들을 들어보고자 합니다!
https://cafe.naver.com/imsanbu?iframe_url=%2FArticleRead.nhn%3Fclubid%3D10094499%26articleid%3D74906391%26art%3DaW50ZXJuYWwtY2FmZS13ZWItc2VjdGlvbi1zZWFyY2gtbGlzdA.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiYXJ0aWNsZUlkIjo3NDkwNjM5MSwiY2FmZVVybCI6Imltc2FuYnUiLCJpc3N1ZWRBdCI6MTc0NDYxNTA2OTM1MH0.zgpFkWM3wlx-fTAfrzt5vQA36RtnEKypaSPC23Dq6_Q%26query%3D%25EC%2595%2584%25EC%259D%25B4%25EB%258F%258C%25EB%25B4%2584%25EC%2584%259C%25EB%25B9%2584%25EC%258A%25A4,아이돌봄서비스? 이용해보신,아기 이제 백일 다 됐는데하루에 한시간이라도 운동 다녀오고 싶어서요정부지원 말고 사비?로라도 하루에 두어시간 아이돌봄 서비스 이용해보고 싶은데이용해보신 분 계신가요후기좀 들려주세욥,저 이제 신청했는데 등급판정 받았고 적어도 두달 걸린대요... 맘님 바로 가능하신가요? ㅠㅠ
