행정구역,연도,출생아수,교육기관수,어린이집수,초등학교수,영유아_인구수,아동_인구수,가구수,인구수,육아휴직(부),육아휴직(모)
강원특별자치도,2020,7835,5,366,347,56583,87444,661039,1452695,243,1724
강원특별자치도,2021,7357,5,363,348,53153,86449,674728,1452031,272,1739
강원특별자치도,2022,7278,5,359,349,50371,85035,684895,1449402,403,2015
경기도,2020,77737,5,2206,1298,615708,925787,5098431,12693481,1878,18888
경기도,2021,76139,6,2209,1317,572784,927378,5290662,12872435,2203,19773
경기도,2022,75323,6,2175,1320,533496,920992,5406963,12907376,3595,22437
경상남도,2020,16823,1,686,505,140064,225100,1350155,3148113,390,3443
경상남도,2021,15562,1,683,509,124927,222916,1378982,3136673,431,3540
경상남도,2022,14017,1,683,510,111035,218795,1392608,3106225,656,3698
경상북도,2020,12873,9,701,473,101387,153184,1131819,2483041,305,2672
경상북도,2021,12045,9,696,473,91859,152362,1156645,2477239,343,2661
경상북도,2022,11311,9,682,473,82877,149831,1166306,2454688,543,2861
광주광역시,2020,7318,2,298,155,62164,101778,599217,1409978,206,1942
광주광역시,2021,7956,1,294,155,57894,100247,615693,1409089,215,2184
광주광역시,2022,7446,1,288,155,53473,98524,623252,1399149,364,2333
대구광역시,2020,11193,2,346,230,94343,146731,985816,2321163,229,2642
대구광역시,2021,10661,1,342,232,85308,145487,1000931,2301255,274,2715
대구광역시,2022,10134,1,329,233,77883,145215,1010834,2279121,419,2947
대전광역시,2020,7481,0,256,148,60634,95030,631208,1424823,201,1996
대전광역시,2021,7414,2,253,148,55312,93066,640085,1412576,249,2120
대전광역시,2022,7677,2,255,149,52168,91530,646474,1400687,430,2416
부산광역시,2020,15058,1,403,304,123962,186664,1405037,3213816,353,3891
부산광역시,2021,14446,1,397,304,112344,186848,1431365,3197368,433,4079
부산광역시,2022,14134,1,394,304,102950,186695,1447825,3166827,663,4377
서울특별시,2020,47445,10,795,607,339289,503249,3982290,9098805,1206,14713
서울특별시,2021,45531,10,787,607,307525,490846,4046799,9009126,1336,14902
서울특별시,2022,42602,10,788,609,282707,481692,4098818,8942201,2071,15370
세종특별자치시,2020,3468,1,61,49,26208,36199,139106,340173,133,1071
세종특별자치시,2021,3570,1,62,51,25207,37703,145295,353038,183,1260
세종특별자치시,2022,3209,1,64,52,23853,39162,154019,367161,291,1227
울산광역시,2020,6617,1,198,120,52566,79549,444087,1082992,170,1273
울산광역시,2021,6127,1,196,121,46869,78798,451432,1072873,191,1336
울산광역시,2022,5399,1,191,121,41857,77922,453998,1059852,266,1430
인천광역시,2020,16040,1,404,253,122051,186569,1147200,2798349,405,3567
인천광역시,2021,14947,1,399,258,112522,186143,1183610,2813245,440,3471
인천광역시,2022,14464,1,396,260,106904,186159,1212731,2831166,791,4160
전라남도,2020,9738,1,530,429,70300,109504,761518,1685958,253,1999
전라남도,2021,8430,1,524,430,63771,108193,777358,1681752,272,1882
전라남도,2022,7888,1,516,426,58305,106201,784645,1670748,438,2044
전북특별자치도,2020,8165,1,507,421,65896,112033,755575,1701123,196,1757
전북특별자치도,2021,7475,1,507,420,59169,109808,772471,1692259,205,1846
전북특별자치도,2022,7032,1,501,421,53699,106694,777680,1673107,347,1967
제주특별자치도,2020,3989,2,123,113,31618,49937,263068,632545,145,1005
제주특별자치도,2021,3728,2,123,113,29363,50496,271162,637155,156,1071
제주특별자치도,2022,3599,2,119,114,27196,50343,276225,638690,264,1148
충청남도,2020,11950,4,499,410,92278,140840,892222,2016582,322,2596
충청남도,2021,10984,4,498,412,84101,139725,915634,2020843,408,2578
충청남도,2022,10221,4,498,411,77210,138235,931370,2019123,548,2781
충청북도,2020,8607,3,326,258,66339,100538,678922,1525090,219,2011
충청북도,2021,8190,2,327,259,61100,99691,695611,1524574,297,2129
충청북도,2022,7452,2,324,256,55804,98473,704864,1519123,362,2175
