연도,행정구역,시간0_2신청건수,시간2_4신청건수,시간4_6신청건수,시간6_8신청건수,시간8_10신청건수,시간10_12신청건수,시간12_14신청건수,시간14_16신청건수,시간16_18신청건수,시간18_20신청건수,시간20_22신청건수,시간22_24신청건수,총합계
202001,강원도,23,4,51,4397,5226,2630,1779,1695,9191,3224,526,247,28993
202001,경기도,122,9,343,35679,21552,11148,10725,13575,50158,15539,2189,1324,162363
202001,경상남도,85,23,107,10251,7262,3902,4144,4346,17569,6485,1752,365,56291
202001,경상북도,144,68,126,7895,8589,4850,4360,3932,18211,6438,1257,401,56271
202001,광주광역시,13,3,46,4690,4110,1931,1658,1841,10191,2672,283,53,27491
202001,대구광역시,109,21,63,4923,4383,2261,3208,4223,11908,4316,831,215,36461
202001,대전광역시,21,0,6,3621,3249,1570,1201,1329,6877,2226,246,97,20443
202001,부산광역시,93,3,72,10293,7255,3857,3385,4862,18560,4089,494,337,53300
202001,서울특별시,59,2,103,22429,18061,9860,10500,13931,39942,11258,1380,237,127762
202001,세종특별자치시,4,0,0,1165,1128,548,525,661,3448,1043,33,21,8576
202001,울산광역시,52,68,118,6401,2764,1503,2251,2527,9502,3422,877,229,29714
202001,인천광역시,35,0,160,6900,3947,2461,1814,2500,10564,3148,320,151,32000
202001,전라남도,117,257,238,7386,5039,2670,2683,2523,11303,4372,1233,756,38577
202001,전라북도,145,21,110,7918,5153,2494,3930,3202,13655,4958,1582,316,43484
202001,제주특별자치도,17,0,63,811,1483,875,619,483,2986,1033,180,27,8577
202001,충청남도,38,6,25,4733,4109,2009,1619,2116,7915,2544,400,229,25743
202001,충청북도,46,0,113,3925,3189,1537,1452,1503,7511,2280,392,205,22153
202002,강원도,13,0,55,3780,5752,2824,1879,1484,8740,2837,380,165,27909
202002,경기도,84,4,251,33122,21762,12255,11114,13475,47839,14215,2078,1434,157633
202002,경상남도,110,18,172,10111,7514,3767,4285,4396,16403,5747,1834,240,54597
202002,경상북도,162,22,118,7871,8927,4674,4822,4026,17574,5723,1132,461,55512
202002,광주광역시,3,3,43,4489,4397,1897,1655,1745,9031,2406,258,44,25971
202002,대구광역시,119,26,83,4572,4228,2330,3134,3591,10489,3748,691,185,33196
202002,대전광역시,63,1,12,3433,3200,1429,1157,1394,6176,2060,258,78,19261
202002,부산광역시,113,0,46,10297,6761,3593,2934,4680,16961,4156,392,307,50240
202002,서울특별시,103,3,102,21882,17926,9350,10959,14305,38511,11048,1310,237,125736
202002,세종특별자치시,0,17,1,1161,1226,582,522,748,3250,923,34,39,8503
202002,울산광역시,41,45,70,6287,2721,1572,2099,2533,8545,2960,789,126,27788
202002,인천광역시,25,12,138,6198,4015,2613,1989,2245,9580,2798,316,133,30062
202002,전라남도,113,140,181,6878,5259,2814,2494,2358,10816,3905,1050,510,36518
202002,전라북도,142,16,125,7232,5473,2809,4376,3098,12388,4519,1430,309,41917
202002,제주특별자치도,0,0,77,680,1639,892,752,447,2516,932,153,8,8096
202002,충청남도,25,2,21,4430,4485,2438,1659,2075,7732,2340,354,215,25776
202002,충청북도,11,2,84,3407,3395,1534,1429,1451,6587,2146,429,201,20676
202003,강원도,29,1,31,2371,7972,3759,2432,1626,5546,2111,240,155,26273
202003,경기도,134,26,221,24292,28005,14984,14636,13810,35937,11478,1662,1008,146193
202003,경상남도,153,20,98,5979,11803,5499,6733,5395,9907,4079,1375,215,51256
202003,경상북도,84,35,73,5013,14363,7014,7241,4009,10447,3885,932,444,53540
202003,광주광역시,9,0,47,3346,6025,2435,2601,1998,6739,2191,245,39,25675
202003,대구광역시,96,18,32,1748,7339,3099,4928,3078,4696,1903,451,104,27492
202003,대전광역시,45,1,11,2248,4358,2050,1479,1575,3627,1275,335,97,17101
202003,부산광역시,67,2,1,5139,11498,4963,4915,3938,9352,2717,242,253,43087
202003,서울특별시,46,1,51,14553,22892,12056,14312,12821,29515,8316,1000,125,115688
202003,세종특별자치시,0,0,0,1030,1356,559,912,667,2259,739,7,61,7590
202003,울산광역시,69,10,60,3105,5270,2618,4263,2967,4944,1787,645,128,25866
202003,인천광역시,25,14,99,4596,6076,2997,2464,2196,7502,2141,319,151,28580
202003,전라남도,80,119,185,5581,8003,3615,4000,2723,8596,3234,937,486,37559
202003,전라북도,149,18,71,6167,8419,4080,6913,3837,11172,3865,1135,387,46213
202003,제주특별자치도,0,0,75,683,1829,1090,972,586,2185,699,87,3,8209
202003,충청남도,38,2,52,2748,6188,2902,2261,2057,4433,1712,227,178,22798
202003,충청북도,8,0,87,2528,5009,2318,2032,1891,4151,1680,283,177,20164
202004,강원도,10,4,41,2983,7272,3729,2151,2034,6499,2405,329,122,27579
202004,경기도,137,12,297,26423,26705,14426,13926,13237,38352,11168,1578,1244,147505
202004,경상남도,186,10,119,6864,11338,4997,6658,5529,11401,4188,1307,267,52864
202004,경상북도,119,14,144,5462,16004,6875,7425,5036,11578,4408,1128,428,58621
202004,광주광역시,0,0,22,3861,5847,1728,2232,1876,7520,2202,220,108,25616
202004,대구광역시,120,13,23,2153,8348,3548,5607,3811,5803,1764,612,170,31972
202004,대전광역시,29,0,17,2262,4613,1745,1789,1505,4188,1310,316,96,17870
202004,부산광역시,93,2,39,5652,12331,5047,4773,4681,10382,2476,282,291,46049
202004,서울특별시,49,1,66,16131,22312,10471,13353,13159,32140,8312,963,160,117117
202004,세종특별자치시,0,0,0,1004,1593,626,1055,718,2506,666,42,66,8276
202004,울산광역시,55,0,45,3377,5768,2377,4444,3442,5616,1814,729,168,27835
202004,인천광역시,21,13,101,4682,5865,2836,2457,2471,7666,2164,240,106,28622
202004,전라남도,80,41,191,6076,7340,2729,3677,2859,9190,3601,945,501,37230
202004,전라북도,160,7,127,6170,8620,4024,5902,4035,11399,3864,1207,259,45774
202004,제주특별자치도,0,0,93,596,1381,771,720,631,2795,669,81,5,7742
202004,충청남도,45,4,46,3005,5786,2848,1900,2470,5489,1646,280,115,23634
202004,충청북도,31,0,112,2966,4727,1990,2008,1826,5086,1519,250,145,20660
202005,강원도,37,1,50,3742,6503,3355,1938,1792,8288,2557,324,145,28732
202005,경기도,164,15,283,29266,26350,12229,12388,13738,43213,12625,1818,1299,153388
202005,경상남도,109,1,115,7573,10015,4512,5561,5516,13489,4782,1367,225,53265
202005,경상북도,176,7,242,6525,15546,5982,6723,5277,13793,5196,1147,479,61093
202005,광주광역시,0,0,36,4173,5185,1573,1903,1968,8504,2342,181,117,25982
202005,대구광역시,99,29,38,2507,8544,3524,5303,4260,6755,2372,570,177,34178
202005,대전광역시,29,2,16,2916,4450,1646,1592,1530,5048,1592,261,107,19189
202005,부산광역시,128,0,12,6767,11582,4357,3952,5126,12679,2897,302,266,48068
202005,서울특별시,48,10,88,17555,21376,9933,12148,12847,34453,8832,957,178,118425
202005,세종특별자치시,1,0,0,1056,1711,644,955,703,2632,785,73,51,8611
202005,울산광역시,23,0,58,3819,5212,2158,3936,3111,6818,2144,846,179,28304
202005,인천광역시,42,1,122,4669,5439,2494,2386,2613,7678,2409,235,59,28147
202005,전라남도,77,26,212,7084,6572,2504,3133,2691,9420,3965,935,497,37116
202005,전라북도,148,25,142,6732,7711,3294,5673,3749,11991,4363,1292,309,45429
202005,제주특별자치도,3,0,72,649,1325,778,633,596,2979,625,107,2,7769
202005,충청남도,74,8,38,3867,4941,2351,1724,2276,6694,2017,296,128,24414
202005,충청북도,36,1,80,3263,4340,1682,1923,1830,5316,1693,409,115,20688
202006,강원도,15,1,59,5809,4656,2363,1909,1856,11604,3478,404,106,32260
202006,경기도,113,20,346,40195,22209,10836,12266,15391,55513,15264,2049,1378,175580
202006,경상남도,75,7,158,11859,6588,3254,4172,4857,19329,6266,1757,188,58510
202006,경상북도,106,4,274,11665,10002,4090,5380,5996,21748,6932,1380,513,68090
202006,광주광역시,9,1,40,6447,4122,1449,1642,1942,11381,3060,187,139,30419
202006,대구광역시,142,18,68,5271,5808,2645,4448,4912,10240,3563,668,239,38022
202006,대전광역시,33,7,11,4697,3154,1067,1530,1827,7538,1732,274,144,22014
202006,부산광역시,118,15,60,11833,7336,3000,3527,5714,20861,4439,424,319,57646
202006,서울특별시,32,23,84,23478,19657,9148,11925,14890,43678,10496,1607,222,135240
202006,세종특별자치시,22,0,15,1613,1136,549,710,909,3749,1124,96,66,9989
202006,울산광역시,55,49,78,7391,3134,1266,2498,3109,9431,3306,1096,179,31592
202006,인천광역시,39,0,157,6518,4579,2107,2284,2986,10514,2986,195,93,32458
202006,전라남도,116,39,238,9848,4625,1751,2413,2515,12698,5044,1226,620,41133
202006,전라북도,124,33,201,9802,5314,2001,3757,3567,15957,5355,1626,443,48180
202006,제주특별자치도,5,0,82,1005,978,614,476,532,3926,862,160,2,8642
202006,충청남도,45,5,62,6165,3587,1684,1786,2596,9910,2874,333,179,29226
202006,충청북도,16,0,149,4838,3338,1305,1718,2072,7464,2424,464,157,23945
202007,강원도,15,6,68,6307,4514,2459,1910,2306,12387,3591,474,138,34175
202007,경기도,90,5,394,42933,22359,11437,12446,16065,58289,15947,1984,1365,183314
202007,경상남도,69,22,176,12332,6839,3473,4230,4555,20532,6871,1904,389,61392
202007,경상북도,89,1,402,12994,9063,3907,4991,5822,23991,7524,1413,463,70660
202007,광주광역시,16,0,17,5585,4990,1870,1830,1966,9810,2894,149,148,29275
202007,대구광역시,135,14,42,6336,4398,2265,3659,4508,12491,3919,947,157,38871
202007,대전광역시,32,1,8,4877,3040,1176,1586,1791,7217,1605,369,126,21828
202007,부산광역시,128,2,36,13240,6454,3244,3810,5460,22364,4950,448,334,60470
202007,서울특별시,69,19,99,24567,18127,9063,11515,15984,45426,11040,1443,176,137528
202007,세종특별자치시,1,0,1,1882,901,474,612,849,4065,1160,99,73,10117
202007,울산광역시,70,57,83,8129,2639,1342,2224,2884,10208,3496,975,337,32444
202007,인천광역시,96,0,141,7123,3933,2162,2190,3090,11609,3456,192,86,34078
202007,전라남도,163,104,148,10091,4778,1813,2430,2461,12918,5292,1123,640,41961
202007,전라북도,97,42,285,10366,5024,2170,3665,3509,16297,5872,1534,516,49377
202007,제주특별자치도,0,0,88,1026,1047,642,571,512,3989,908,199,8,8990
202007,충청남도,43,1,34,6624,3798,1800,1891,2828,10106,3031,329,223,30708
202007,충청북도,23,0,143,5123,3282,1278,1750,2017,8227,2486,501,225,25055
202008,강원도,24,6,90,4417,4798,2769,1921,2075,9288,2958,372,180,28898
202008,경기도,116,9,400,31929,21513,11874,11661,13711,46947,12521,1604,1383,153668
202008,경상남도,101,31,164,8588,7016,3871,4291,3895,15949,5348,1578,216,51048
202008,경상북도,62,7,379,10239,10477,4769,5006,5260,19886,6518,1137,430,64170
202008,광주광역시,6,0,4,4307,4474,1809,1665,1767,8132,2342,112,126,24744
202008,대구광역시,124,2,41,5068,3951,2319,3176,3804,10998,3493,664,180,33820
202008,대전광역시,7,1,10,3632,3023,1253,1450,1549,5774,1570,221,178,18668
202008,부산광역시,120,2,33,9216,7205,4035,3770,4544,17704,3951,324,339,51243
202008,서울특별시,97,11,75,18849,16958,9004,10837,13895,36936,9338,1074,176,117250
202008,세종특별자치시,0,0,0,1292,930,585,486,631,3070,829,58,66,7947
202008,울산광역시,96,55,81,5189,3015,1635,2555,2743,7261,2683,725,291,26329
202008,인천광역시,82,1,114,5262,3934,2137,1928,2457,8901,2635,169,100,27720
202008,전라남도,174,92,173,7545,5272,2289,2573,2072,10145,4225,955,576,36091
202008,전라북도,75,44,202,7965,5770,2606,4490,3258,13053,4867,1161,424,43915
