연도,행정구역,당월연령0_40세돌보미수,당월연령40_45세돌보미수,당월연령45_50세돌보미수,당월연령50_55세돌보미수,당월연령55_60세돌보미수,당월연령60_65세돌보미수,당월연령65_00세돌보미수,총돌보미수
202001,강원도,14,43,122,258,289,168,64,958
202001,경기도,19,48,339,1010,1641,1197,418,4672
202001,경상남도,4,39,196,372,399,273,83,1366
202001,경상북도,22,62,232,403,514,332,99,1664
202001,광주광역시,2,19,107,239,306,172,43,888
202001,대구광역시,3,19,112,305,401,211,66,1117
202001,대전광역시,1,7,51,132,186,113,51,541
202001,부산광역시,0,23,131,393,561,468,118,1694
202001,서울특별시,6,16,188,620,1125,977,407,3339
202001,세종특별자치시,1,7,29,48,109,76,17,287
202001,울산광역시,2,22,122,253,261,180,44,884
202001,인천광역시,2,10,79,242,397,344,122,1196
202001,전라남도,20,48,139,228,253,199,65,952
202001,전라북도,10,23,90,245,373,242,82,1065
202001,제주특별자치도,2,4,13,58,86,96,43,302
202001,충청남도,10,37,100,227,274,225,110,983
202001,충청북도,2,15,75,176,189,134,49,640
202002,강원도,14,43,122,258,289,168,64,958
202002,경기도,19,48,339,1010,1641,1197,418,4672
202002,경상남도,4,39,196,372,399,273,83,1366
202002,경상북도,22,62,232,403,514,332,99,1664
202002,광주광역시,2,19,107,239,306,172,43,888
202002,대구광역시,3,19,112,305,401,211,66,1117
202002,대전광역시,1,7,51,132,186,113,51,541
202002,부산광역시,0,23,131,393,561,468,118,1694
202002,서울특별시,6,16,188,620,1125,977,407,3339
202002,세종특별자치시,1,7,29,48,109,76,17,287
202002,울산광역시,2,22,122,253,261,180,44,884
202002,인천광역시,2,10,79,242,397,344,122,1196
202002,전라남도,20,48,139,228,253,199,65,952
202002,전라북도,10,23,90,245,373,242,82,1065
202002,제주특별자치도,2,4,13,58,86,96,43,302
202002,충청남도,10,37,100,227,274,225,110,983
202002,충청북도,2,15,75,176,189,134,49,640
202003,강원도,14,43,122,258,289,168,64,958
202003,경기도,19,48,339,1010,1641,1197,418,4672
202003,경상남도,4,39,196,372,399,273,83,1366
202003,경상북도,22,62,232,403,514,332,99,1664
202003,광주광역시,2,19,107,239,306,172,43,888
202003,대구광역시,3,19,112,305,401,211,66,1117
202003,대전광역시,1,7,51,132,186,113,51,541
202003,부산광역시,0,23,131,393,561,468,118,1694
202003,서울특별시,6,16,188,620,1125,977,407,3339
202003,세종특별자치시,1,7,29,48,109,76,17,287
202003,울산광역시,2,22,122,253,261,180,44,884
202003,인천광역시,2,10,79,242,397,344,122,1196
202003,전라남도,20,48,139,228,253,199,65,952
202003,전라북도,10,23,90,245,373,242,82,1065
202003,제주특별자치도,2,4,13,58,86,96,43,302
202003,충청남도,10,37,100,227,274,225,110,983
202003,충청북도,2,15,75,176,189,134,49,640
202004,강원도,14,43,122,258,289,168,64,958
202004,경기도,19,49,339,1010,1639,1194,418,4668
202004,경상남도,3,40,196,373,401,272,82,1367
202004,경상북도,22,61,232,405,519,333,99,1671
202004,광주광역시,2,19,107,239,306,171,42,886
202004,대구광역시,3,19,112,303,401,212,66,1116
202004,대전광역시,1,7,51,132,186,113,51,541
202004,부산광역시,0,23,131,392,560,466,118,1690
202004,서울특별시,6,16,188,620,1124,974,407,3335
202004,세종특별자치시,1,7,29,48,109,76,17,287
202004,울산광역시,2,22,121,253,259,179,44,880
202004,인천광역시,2,10,79,240,393,342,122,1188
202004,전라남도,22,48,141,228,253,199,65,956
202004,전라북도,10,23,89,245,374,242,82,1065
202004,제주특별자치도,2,4,13,60,84,96,43,302
202004,충청남도,10,37,100,227,271,224,110,979
202004,충청북도,2,15,75,176,188,134,49,639
202005,강원도,14,43,122,257,289,168,63,956
202005,경기도,19,49,337,1006,1635,1192,416,4654
202005,경상남도,3,39,195,372,401,272,82,1364
202005,경상북도,22,60,231,402,516,331,98,1660
202005,광주광역시,1,18,107,235,304,169,42,876
202005,대구광역시,3,19,113,303,403,212,66,1119
202005,대전광역시,1,7,49,132,186,111,51,537
202005,부산광역시,0,23,130,388,558,464,118,1681
202005,서울특별시,6,16,187,617,1124,972,407,3329
202005,세종특별자치시,1,7,29,47,108,76,17,285
202005,울산광역시,2,22,121,252,259,178,44,878
202005,인천광역시,2,10,79,240,391,342,122,1186
202005,전라남도,22,47,140,227,253,199,65,953
202005,전라북도,9,23,85,244,371,242,79,1053
202005,제주특별자치도,2,5,14,60,84,96,43,304
202005,충청남도,10,38,101,227,276,228,110,990
202005,충청북도,2,16,76,180,192,134,49,649
202006,강원도,14,42,124,260,289,169,61,959
202006,경기도,19,52,337,1012,1632,1188,414,4654
202006,경상남도,1,37,195,372,396,272,81,1354
202006,경상북도,22,60,232,402,515,333,97,1661
202006,광주광역시,1,19,106,236,305,171,41,879
202006,대구광역시,3,19,113,302,403,211,65,1116
202006,대전광역시,0,7,49,131,184,109,50,530
202006,부산광역시,0,23,130,391,556,463,117,1680
202006,서울특별시,6,16,190,619,1123,967,405,3326
202006,세종특별자치시,1,7,29,47,108,76,17,285
202006,울산광역시,2,22,119,249,256,177,44,869
202006,인천광역시,2,10,77,238,389,340,120,1176
202006,전라남도,20,49,141,229,254,200,64,957
202006,전라북도,9,23,85,243,372,241,79,1052
202006,제주특별자치도,1,5,13,60,89,96,43,307
202006,충청남도,10,39,103,228,279,228,109,996
202006,충청북도,2,17,85,189,199,134,49,675
202007,강원도,14,45,122,262,292,170,59,964
202007,경기도,21,53,340,1018,1628,1189,410,4659
202007,경상남도,3,44,224,407,414,275,79,1446
202007,경상북도,21,72,251,421,540,335,98,1738
202007,광주광역시,1,19,105,234,301,171,41,872
202007,대구광역시,3,20,115,305,403,207,65,1118
202007,대전광역시,0,7,49,130,183,109,49,527
202007,부산광역시,5,34,151,407,575,464,119,1755
202007,서울특별시,6,17,190,624,1131,972,400,3340
202007,세종특별자치시,1,7,27,46,102,73,15,271
202007,울산광역시,2,22,118,248,254,177,44,865
202007,인천광역시,2,12,82,255,397,339,120,1207
202007,전라남도,22,52,150,240,268,203,66,1001
202007,전라북도,13,25,92,254,380,241,77,1082
202007,제주특별자치도,2,6,15,63,95,100,43,324
202007,충청남도,13,42,109,238,289,229,110,1030
202007,충청북도,2,17,85,187,198,133,49,671
202008,강원도,16,44,124,262,292,169,59,966
202008,경기도,22,57,366,1063,1680,1208,407,4803
202008,경상남도,4,46,237,421,418,277,78,1481
202008,경상북도,20,78,266,448,552,345,99,1808
202008,광주광역시,1,20,104,237,299,171,42,874
202008,대구광역시,3,20,120,309,409,206,64,1131
202008,대전광역시,0,7,49,129,183,109,49,526
202008,부산광역시,5,34,150,413,581,462,119,1764
202008,서울특별시,6,18,198,628,1137,966,398,3351
202008,세종특별자치시,1,7,27,46,102,73,15,271
202008,울산광역시,2,22,117,248,252,177,44,862
202008,인천광역시,2,15,87,268,407,345,120,1244
202008,전라남도,22,50,149,244,267,203,66,1001
202008,전라북도,13,25,93,258,380,239,77,1085
202008,제주특별자치도,2,6,15,63,94,99,43,322
202008,충청남도,13,41,106,237,289,227,110,1023
202008,충청북도,2,17,95,190,207,135,49,695
202009,강원도,17,44,129,267,295,171,60,983
202009,경기도,20,58,383,1090,1690,1206,405,4852
202009,경상남도,5,46,234,422,418,278,77,1480
202009,경상북도,20,80,270,456,553,344,99,1822
202009,광주광역시,1,19,105,234,295,170,42,866
202009,대구광역시,5,21,123,312,412,203,62,1138
202009,대전광역시,0,7,49,129,183,109,49,526
202009,부산광역시,6,34,150,415,582,461,118,1766
202009,서울특별시,6,18,191,628,1128,967,396,3334
202009,세종특별자치시,1,7,27,46,102,73,15,271
202009,울산광역시,2,22,117,248,252,177,44,862
202009,인천광역시,2,15,90,270,406,345,117,1245
202009,전라남도,22,53,150,244,268,204,66,1007
202009,전라북도,13,24,92,256,376,238,76,1075
202009,제주특별자치도,2,6,15,63,94,99,43,322
202009,충청남도,12,41,106,237,287,226,108,1017
202009,충청북도,2,17,95,189,207,134,48,692
202010,강원도,18,45,140,281,306,179,60,1029
202010,경기도,20,60,392,1108,1705,1194,400,4879
202010,경상남도,5,46,232,418,417,277,75,1470
202010,경상북도,19,79,261,455,553,344,98,1809
202010,광주광역시,1,22,106,236,293,168,41,867
202010,대구광역시,5,21,121,310,408,202,60,1127
202010,대전광역시,0,10,52,144,198,117,50,571
202010,부산광역시,6,34,150,417,580,461,117,1765
202010,서울특별시,6,18,192,627,1131,967,397,3338
202010,세종특별자치시,1,7,29,46,105,73,14,275
202010,울산광역시,2,22,117,247,251,177,43,859
202010,인천광역시,3,15,87,272,410,351,118,1256
202010,전라남도,23,51,155,244,269,202,65,1009
202010,전라북도,13,24,92,255,374,236,74,1068
202010,제주특별자치도,2,6,15,63,93,97,43,319
202010,충청남도,12,40,111,251,297,228,105,1044
202010,충청북도,2,17,95,189,205,135,48,691
202011,강원도,17,45,139,280,304,180,59,1024
202011,경기도,20,60,393,1115,1701,1191,395,4875
202011,경상남도,5,46,234,417,416,276,75,1469
202011,경상북도,19,80,260,453,551,350,97,1810
202011,광주광역시,1,22,106,240,292,167,41,869
202011,대구광역시,5,21,121,310,404,198,60,1119
202011,대전광역시,0,10,52,143,194,117,49,565
202011,부산광역시,6,36,152,419,579,459,118,1769
202011,서울특별시,6,21,195,631,1147,971,393,3364
202011,세종특별자치시,1,7,34,51,112,79,18,302
202011,울산광역시,2,21,114,244,245,173,42,841
202011,인천광역시,4,14,87,267,407,348,117,1244
202011,전라남도,23,53,159,245,265,202,64,1011
202011,전라북도,13,24,94,256,373,234,73,1067
202011,제주특별자치도,2,6,15,62,92,96,42,315
202011,충청남도,12,39,111,245,295,227,103,1032
202011,충청북도,2,17,95,188,203,134,48,687
202012,강원도,16,45,137,277,299,177,56,1007
202012,경기도,19,59,388,1111,1687,1175,392,4831
202012,경상남도,5,45,234,413,408,274,75,1454
202012,경상북도,18,78,256,445,539,348,96,1780
202012,광주광역시,2,22,107,235,296,169,41,872
202012,대구광역시,4,20,121,309,401,197,60,1112
202012,대전광역시,0,10,51,142,194,117,49,563
202012,부산광역시,5,34,151,416,568,458,115,1747
202012,서울특별시,6,21,195,630,1144,964,391,3351
202012,세종특별자치시,3,7,35,52,112,79,18,306
202012,울산광역시,2,21,125,256,252,172,42,870
202012,인천광역시,5,14,91,265,406,347,112,1240
202012,전라남도,23,52,154,243,264,198,64,998
202012,전라북도,13,24,95,259,371,230,72,1064
202012,제주특별자치도,2,4,12,59,90,95,41,303
202012,충청남도,12,39,109,240,288,222,103,1013
202012,충청북도,2,17,93,185,199,131,47,674
202101,강원도,16,30,110,247,309,201,81,994
202101,경기도,14,42,270,980,1577,1370,544,4797
202101,경상남도,1,30,187,387,415,315,111,1446
202101,경상북도,16,47,240,401,523,417,132,1776
202101,광주광역시,0,12,87,223,289,209,61,881
202101,대구광역시,3,10,98,266,396,246,80,1099
202101,대전광역시,0,8,32,131,188,138,64,561
202101,부산광역시,5,25,116,366,545,526,177,1760
202101,서울특별시,3,13,131,531,1059,1070,546,3353
202101,세종특별자치시,2,7,31,44,95,94,33,306
202101,울산광역시,2,10,100,258,249,190,71,880
202101,인천광역시,3,9,66,241,385,374,159,1237
