연도,행정구역,연령0세신청건수,연령1세신청건수,연령2세신청건수,연령3세신청건수,연령4세신청건수,연령5세신청건수,연령6세신청건수,연령7세신청건수,연령8세신청건수,연령9세신청건수,연령10세신청건수,연령11세신청건수,연령12세신청건수,총합계
202001,강원도,3758,3968,3433,3730,3219,2915,2245,2292,1612,874,517,347,83,28993
202001,경기도,13920,24039,19003,19263,19777,17620,14764,13564,8427,5606,3125,2081,1174,162363
202001,경상남도,5912,7882,6130,6566,7271,5462,5446,4033,3215,2027,1196,733,418,56291
202001,경상북도,5195,7311,6275,5830,6770,5688,5247,5013,2958,2240,1536,1372,836,56271
202001,광주광역시,3213,4148,3030,3638,3003,2572,1930,2286,1356,1206,652,281,176,27491
202001,대구광역시,3163,5944,4783,4594,3957,3834,3177,2821,1470,1384,608,523,203,36461
202001,대전광역시,1832,2818,2545,2455,1907,2235,2154,1741,1311,683,466,164,119,20430
202001,부산광역시,4876,7163,7109,6394,7349,5269,4820,3980,2598,1541,1007,743,451,53300
202001,서울특별시,14244,23958,18759,14644,13005,12273,9154,7776,5890,3644,2279,1413,723,127762
202001,세종특별자치시,960,1463,1086,1208,769,735,757,657,360,253,162,75,91,8576
202001,울산광역시,2912,3747,3831,3692,4206,3257,2856,2072,1460,803,409,320,149,29714
202001,인천광역시,2393,4753,4879,3626,3517,3701,2841,2874,1286,1003,497,388,242,32000
202001,전라남도,3656,5169,4537,4030,4267,4142,3519,3405,2400,1688,774,644,346,38577
202001,전라북도,4358,6516,4749,4532,4794,4716,4112,3246,2619,1504,1265,635,438,43484
202001,제주특별자치도,1116,1650,1036,938,1025,922,643,494,426,156,115,33,23,8577
202001,충청남도,2813,3753,3015,3090,3105,2482,2306,2042,1425,918,317,317,160,25743
202001,충청북도,2379,3143,2927,2270,2793,2333,1839,1708,1043,717,440,382,179,22153
202002,강원도,3206,3872,3313,3539,3232,2936,2188,2081,1707,865,390,459,121,27909
202002,경기도,12855,23213,19551,18930,19051,17198,13948,12903,8083,5408,3069,1957,1467,157633
202002,경상남도,5077,8009,5781,6566,6625,6146,5156,3736,3250,1845,1078,801,527,54597
202002,경상북도,4606,7250,6433,6008,6547,5599,5534,4662,3020,2154,1602,1248,849,55512
202002,광주광역시,2794,3776,2897,3501,3190,2367,1878,2115,1300,1092,586,317,158,25971
202002,대구광역시,2318,5726,4460,4404,3536,3338,3132,2332,1434,1183,667,479,187,33196
202002,대전광역시,1753,2619,2518,2492,1694,2061,1898,1581,1305,678,379,209,74,19261
202002,부산광역시,4313,6931,6544,6138,6881,5251,4870,3243,2469,1468,1037,710,385,50240
202002,서울특별시,13322,23568,19167,14271,13306,11805,9152,7439,5528,3710,2125,1672,671,125736
202002,세종특별자치시,789,1680,988,1310,676,909,614,653,328,239,158,80,79,8503
202002,울산광역시,2419,3486,3533,3562,3838,3042,2790,1920,1494,845,296,400,163,27788
202002,인천광역시,2137,4455,4796,3239,3240,3542,2606,2620,1259,980,548,424,216,30062
202002,전라남도,3236,4993,4381,4041,3941,3890,3076,3112,2326,1687,814,687,334,36518
202002,전라북도,4014,6338,4619,4548,4656,4382,4082,3196,2260,1552,1249,634,387,41917
202002,제주특별자치도,923,1706,992,856,887,874,650,432,364,254,100,58,0,8096
202002,충청남도,2633,3674,3091,3008,3329,2542,2130,2236,1439,810,437,264,183,25776
202002,충청북도,2119,2976,2956,2136,2480,2204,1640,1452,950,858,439,318,148,20676
202003,강원도,2719,3409,3301,3569,2866,2618,2132,1874,1775,859,528,435,188,26273
202003,경기도,12317,21252,18307,17641,17409,15735,13080,11183,7876,4930,2943,1803,1717,146193
202003,경상남도,4468,6967,5704,5918,5927,5498,5150,3966,3024,2113,1157,859,505,51256
202003,경상북도,3347,6668,6359,5844,7003,5517,5386,4488,2995,2156,1508,1400,869,53540
202003,광주광역시,2851,3680,2761,3470,2976,2446,2058,1963,1337,914,709,369,107,25641
202003,대구광역시,1459,4043,3807,3578,3179,3149,2692,1866,1342,1158,534,401,284,27492
202003,대전광역시,1598,2598,2044,1770,1628,1628,1802,1449,1300,562,407,179,136,17101
202003,부산광역시,3488,5744,5822,5340,5564,4353,4347,2846,2207,1309,956,721,390,43087
202003,서울특별시,11980,21573,17730,13918,12020,10847,8324,6427,4809,3464,2340,1425,831,115688
202003,세종특별자치시,852,1419,956,1026,596,730,569,608,327,222,126,76,83,7590
202003,울산광역시,2265,3170,2872,3730,3628,2806,2513,1764,1216,1022,338,317,225,25866
202003,인천광역시,2148,3712,4339,3111,3520,3176,2598,2533,1237,1031,474,475,205,28559
202003,전라남도,2800,4864,4252,4301,3874,4347,3387,3386,2333,1861,932,775,447,37559
202003,전라북도,4167,5981,5480,5386,5344,4297,5286,3327,2659,1694,1403,891,298,46213
202003,제주특별자치도,850,1691,786,1102,800,906,674,490,346,333,123,86,22,8209
202003,충청남도,2452,3191,2779,2512,2811,2459,1705,1972,1298,739,370,278,232,22798
202003,충청북도,1899,2832,2904,2226,2496,2024,1746,1328,1107,686,444,377,95,20164
202004,강원도,2523,3736,3355,3561,3187,2607,2340,2459,1825,927,428,410,221,27579
202004,경기도,11222,20478,18441,17678,18591,15897,13807,11561,8135,5073,3136,1904,1582,147505
202004,경상남도,4219,7032,6026,6144,6160,5896,5310,4238,2949,2274,1143,987,486,52864
202004,경상북도,3523,7294,6399,6214,7192,6223,6474,5123,3516,2559,1772,1499,833,58621
202004,광주광역시,2697,3687,2621,3348,3237,2624,2045,2002,1310,931,696,320,82,25600
202004,대구광역시,1663,4355,4350,3848,4295,3465,3300,2306,1657,1290,725,413,305,31972
202004,대전광역시,1317,2683,2119,1822,1863,1697,1873,1632,1300,751,421,263,129,17870
202004,부산광역시,3882,5881,6207,5371,5990,4903,4682,3021,2503,1395,953,846,415,46049
202004,서울특별시,11100,19578,17909,13781,12921,11699,9388,7343,4770,3546,2597,1647,801,117080
202004,세종특별자치시,741,1385,1046,1166,777,905,711,603,520,170,97,74,61,8256
202004,울산광역시,1979,3384,3005,3865,3813,3272,2825,2226,1311,1041,470,421,223,27835
202004,인천광역시,2126,3276,4190,3599,3659,2966,2778,2473,1371,1093,514,413,163,28621
202004,전라남도,2841,4122,4480,4003,4281,4261,3315,3530,2387,1827,1056,705,422,37230
202004,전라북도,4391,5680,4583,5515,5013,4379,5466,3517,2723,1937,1375,755,440,45774
202004,제주특별자치도,667,1526,898,992,768,784,744,504,334,320,73,112,20,7742
202004,충청남도,2357,3205,2854,2718,2886,2564,1932,1981,1364,764,463,313,233,23634
202004,충청북도,1911,2812,2834,2313,2442,2239,1731,1461,1174,821,441,359,122,20660
202005,강원도,2701,3630,3406,3645,3390,2832,2445,2602,1965,948,475,470,223,28732
202005,경기도,11703,19541,18691,18352,19607,17116,14698,12404,8690,5597,3122,2199,1668,153388
202005,경상남도,4267,6824,5979,6118,6185,5830,5158,4645,3103,2414,1204,1088,434,53249
202005,경상북도,3744,7583,6532,6631,6847,7042,6425,5709,3635,2566,1976,1479,916,61085
202005,광주광역시,2614,3615,2768,3114,3666,2526,2222,2112,1299,859,666,394,127,25982
202005,대구광역시,1843,4205,4245,4158,4990,3592,3463,2784,1784,1357,854,568,335,34178
202005,대전광역시,1394,2705,2263,2125,2016,2054,1958,1679,1416,764,443,245,127,19189
202005,부산광역시,4055,6021,5983,6052,6150,5313,4919,3296,2528,1577,888,889,397,48068
202005,서울특별시,10279,19634,17499,13775,13718,11847,9647,8036,4958,3741,2644,1699,948,118425
202005,세종특별자치시,747,1318,1179,1143,846,984,841,602,533,180,107,75,56,8611
202005,울산광역시,2145,3585,2933,3660,3525,3427,2657,2489,1475,1072,578,517,219,28282
202005,인천광역시,2190,3217,3760,3407,3634,2926,2901,2506,1348,1162,527,400,169,28147
202005,전라남도,2687,3827,4401,4052,4211,4416,3533,3387,2461,1863,1065,765,448,37116
202005,전라북도,3831,5946,4600,4848,5275,4418,5628,3596,2855,1842,1439,775,376,45429
202005,제주특별자치도,661,1427,958,1039,857,723,688,534,348,285,100,130,19,7769
202005,충청남도,2333,3299,2946,2887,3072,2634,2145,1815,1412,875,430,273,253,24374
202005,충청북도,1816,2663,2958,2150,2543,2259,1791,1565,1068,824,546,383,112,20678
202006,강원도,3129,4130,3804,3916,4047,3380,2897,2816,1963,1024,518,392,244,32260
202006,경기도,13824,22127,21274,20634,21833,20405,17177,14357,10389,5993,3592,2354,1612,175571
202006,경상남도,4912,7156,6550,6501,7026,6763,6145,4658,3353,2588,1286,1143,424,58505
202006,경상북도,4454,8647,7206,7831,7681,7735,7261,6053,4104,2804,2004,1446,864,68090
202006,광주광역시,2836,4208,3435,3460,4209,3266,2785,2254,1486,1096,730,461,188,30414
202006,대구광역시,2277,5026,4340,4756,5293,3780,4047,3266,1863,1356,1060,571,387,38022
202006,대전광역시,1644,3074,2548,2445,2400,2486,2173,2018,1519,905,340,268,194,22014
202006,부산광역시,4945,7068,7204,7114,7820,6402,5860,3902,3197,1768,1022,950,394,57646
202006,서울특별시,11677,21620,19863,15777,15363,13829,11432,9270,5805,4629,2972,1907,1092,135236
202006,세종특별자치시,747,1526,1467,1308,1103,1105,981,596,582,287,150,72,65,9989
202006,울산광역시,2515,4039,3193,4148,4338,3655,3210,2638,1590,1103,542,451,170,31592
202006,인천광역시,2429,3433,4368,4034,4291,3475,3345,2934,1512,1299,630,494,214,32458
202006,전라남도,3062,4457,5102,4630,4505,4812,4018,3650,2642,2019,1095,728,413,41133
