연도,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도
202001,958.0,4672.0,1366.0,1664.0,888.0,1117.0,541.0,1694.0,3339.0,287.0,884.0,1196.0,952.0,1065.0,302.0,983.0,640.0
202002,958.0,4672.0,1366.0,1664.0,888.0,1117.0,541.0,1694.0,3339.0,287.0,884.0,1196.0,952.0,1065.0,302.0,983.0,640.0
202003,958.0,4672.0,1366.0,1664.0,888.0,1117.0,541.0,1694.0,3339.0,287.0,884.0,1196.0,952.0,1065.0,302.0,983.0,640.0
202004,958.0,4668.0,1367.0,1671.0,886.0,1116.0,541.0,1690.0,3335.0,287.0,880.0,1188.0,956.0,1065.0,302.0,979.0,639.0
202005,956.0,4654.0,1364.0,1660.0,876.0,1119.0,537.0,1681.0,3329.0,285.0,878.0,1186.0,953.0,1053.0,304.0,990.0,649.0
202006,959.0,4654.0,1354.0,1661.0,879.0,1116.0,530.0,1680.0,3326.0,285.0,869.0,1176.0,957.0,1052.0,307.0,996.0,675.0
202007,964.0,4659.0,1446.0,1738.0,872.0,1118.0,527.0,1755.0,3340.0,271.0,865.0,1207.0,1001.0,1082.0,324.0,1030.0,671.0
202008,966.0,4803.0,1481.0,1808.0,874.0,1131.0,526.0,1764.0,3351.0,271.0,862.0,1244.0,1001.0,1085.0,322.0,1023.0,695.0
202009,983.0,4852.0,1480.0,1822.0,866.0,1138.0,526.0,1766.0,3334.0,271.0,862.0,1245.0,1007.0,1075.0,322.0,1017.0,692.0
202010,1029.0,4879.0,1470.0,1809.0,867.0,1127.0,571.0,1765.0,3338.0,275.0,859.0,1256.0,1009.0,1068.0,319.0,1044.0,691.0
202011,1024.0,4875.0,1469.0,1810.0,869.0,1119.0,565.0,1769.0,3364.0,302.0,841.0,1244.0,1011.0,1067.0,315.0,1032.0,687.0
202012,1007.0,4831.0,1454.0,1780.0,872.0,1112.0,563.0,1747.0,3351.0,306.0,870.0,1240.0,998.0,1064.0,303.0,1013.0,674.0
202101,994.0,4797.0,1446.0,1776.0,881.0,1099.0,561.0,1760.0,3353.0,306.0,880.0,1237.0,986.0,1059.0,302.0,1011.0,678.0
202102,989.0,4774.0,1434.0,1766.0,870.0,1103.0,554.0,1757.0,3355.0,298.0,879.0,1228.0,989.0,1053.0,300.0,997.0,677.0
202103,975.0,4877.0,1481.0,1774.0,859.0,1102.0,546.0,1772.0,3434.0,310.0,871.0,1201.0,988.0,1056.0,301.0,984.0,675.0
202104,1017.0,4983.0,1499.0,1881.0,862.0,1126.0,541.0,1766.0,3495.0,339.0,863.0,1250.0,984.0,1066.0,315.0,1015.0,673.0
202105,1019.0,5050.0,1496.0,1868.0,903.0,1140.0,573.0,1793.0,3495.0,325.0,861.0,1272.0,1004.0,1078.0,314.0,1049.0,672.0
202106,1009.0,5107.0,1477.0,1894.0,926.0,1126.0,561.0,1781.0,3529.0,325.0,887.0,1268.0,1048.0,1069.0,313.0,1035.0,695.0
202107,1004.0,5164.0,1490.0,1909.0,925.0,1116.0,555.0,1801.0,3551.0,325.0,904.0,1267.0,1058.0,1061.0,322.0,1030.0,707.0
202108,1001.0,5193.0,1499.0,1925.0,925.0,1132.0,552.0,1799.0,3573.0,350.0,898.0,1263.0,1052.0,1060.0,316.0,1028.0,698.0
202109,1020.0,5214.0,1502.0,1918.0,917.0,1149.0,583.0,1812.0,3576.0,345.0,896.0,1280.0,1058.0,1097.0,308.0,1027.0,694.0
202110,1025.0,5193.0,1509.0,1908.0,926.0,1154.0,573.0,1820.0,3590.0,336.0,892.0,1284.0,1081.0,1090.0,308.0,1033.0,688.0
202111,1012.0,5161.0,1503.0,1917.0,948.0,1152.0,574.0,1840.0,3646.0,336.0,889.0,1279.0,1085.0,1084.0,315.0,1054.0,684.0
202112,1004.0,5074.0,1497.0,1877.0,931.0,1138.0,566.0,1843.0,3606.0,330.0,878.0,1256.0,1071.0,1066.0,313.0,1040.0,671.0
202201,997.0,5031.0,1500.0,1875.0,926.0,1139.0,558.0,1833.0,3591.0,327.0,864.0,1247.0,1060.0,1061.0,313.0,1036.0,671.0
202202,1004.0,5019.0,1510.0,1874.0,915.0,1128.0,613.0,1828.0,3574.0,336.0,873.0,1235.0,1061.0,1054.0,308.0,1029.0,688.0
202203,1032.0,5107.0,1553.0,1927.0,904.0,1147.0,612.0,1865.0,3577.0,331.0,878.0,1190.0,1075.0,1065.0,306.0,1056.0,681.0
202204,1046.0,5206.0,1556.0,1927.0,940.0,1199.0,602.0,1851.0,3567.0,328.0,894.0,1199.0,1076.0,1095.0,298.0,1064.0,707.0
202205,1040.0,5168.0,1538.0,1931.0,961.0,1198.0,603.0,1868.0,3598.0,326.0,880.0,1220.0,1082.0,1092.0,295.0,1084.0,720.0
202206,1034.0,5142.0,1541.0,1931.0,958.0,1187.0,599.0,1888.0,3604.0,324.0,870.0,1253.0,1090.0,1088.0,289.0,1093.0,711.0
202207,1027.0,5146.0,1581.0,1996.0,964.0,1176.0,643.0,1887.0,3619.0,322.0,861.0,1288.0,1082.0,1081.0,318.0,1094.0,700.0
202208,1028.0,5168.0,1584.0,2010.0,982.0,1200.0,639.0,1885.0,3604.0,318.0,860.0,1295.0,1081.0,1073.0,335.0,1088.0,699.0
202209,1072.0,5147.0,1580.0,2017.0,981.0,1226.0,632.0,1877.0,3602.0,317.0,885.0,1289.0,1074.0,1089.0,329.0,1082.0,696.0
202210,1062.0,5167.0,1576.0,2022.0,983.0,1233.0,628.0,1928.0,3644.0,315.0,894.0,1299.0,1100.0,1109.0,326.0,1084.0,691.0
202211,1055.0,5162.0,1560.0,2017.0,986.0,1240.0,622.0,1936.0,3646.0,314.0,898.0,1293.0,1089.0,1105.0,323.0,1088.0,685.0
