특성별(2),200만원 이하 (%),201~400만원 (%),401~600만원 (%),601~700만원 (%),700만원 이상 (%),매우 나쁜 편이다 (%),나쁜 편이다 (%),보통이다 (%),좋은 편이다 (%),매우 좋은 편이다 (%),긍정 만족도 (%),부정 만족도 (%)
서울특별시,6.199999999999999,37.900000000000006,30.8,10.4,14.8,1.3,13.0,65.9,19.6,0.2,19.8,14.3
부산광역시,24.6,31.6,26.1,8.5,9.3,3.4,21.0,53.3,21.6,0.6,22.200000000000003,24.4
대구광역시,17.1,31.6,28.9,10.4,12.0,2.7,17.9,63.6,15.5,0.3,15.8,20.599999999999998
인천광역시,12.0,30.5,32.6,11.4,13.6,3.6,13.4,59.5,22.6,1.0,23.6,17.0
광주광역시,26.9,28.6,25.2,8.7,10.5,5.4,17.9,56.6,19.8,0.3,20.1,23.299999999999997
대전광역시,15.3,29.299999999999997,30.299999999999997,9.4,15.7,1.0,15.3,59.1,22.0,2.6,24.6,16.3
울산광역시,11.2,40.1,29.8,10.7,8.2,0.8,14.7,56.2,27.7,0.7,28.4,15.5
세종특별자치시,13.6,26.4,34.2,8.3,17.4,1.4,12.9,70.8,14.9,0.0,14.9,14.3
경기도,10.3,37.1,30.6,11.3,10.6,2.5,16.4,62.6,17.7,0.8,18.5,18.9
강원특별자치도,35.3,26.7,24.6,7.1,6.3,4.4,23.0,53.0,17.7,1.9,19.599999999999998,27.4
충청북도,25.4,29.8,24.4,7.3,13.2,2.9,17.4,62.6,16.4,0.7,17.099999999999998,20.299999999999997
충청남도,27.4,30.7,23.299999999999997,9.4,9.1,0.3,19.3,66.7,13.4,0.3,13.700000000000001,19.6
전라북도,26.5,27.4,20.9,9.4,16.0,3.1,17.5,61.2,17.8,0.4,18.2,20.6
전라남도,30.1,34.8,22.7,6.8,5.6,5.4,20.8,56.1,17.0,0.6,17.6,26.200000000000003
경상북도,25.4,36.2,24.700000000000003,7.9,5.7,2.7,20.1,62.2,14.7,0.3,15.0,22.8
경상남도,26.5,30.7,25.9,6.7,10.1,3.9,18.2,56.9,20.5,0.4,20.9,22.099999999999998
